stellar_mass_msun,rotation_percentile_150Myr,rotation_match_age_myr,wind_speed_kms,current_ram_pressure_nPa,dong_support_entry_age_myr,dong_support_exit_age_myr,fraction_10Myr_to_current_inside_Dong_pressure_support,dong_pressure_support_nPa_low,dong_pressure_support_nPa_high
0.4,2,2725.7792908339616,300.0,27.970760454892723,428.1199792149524,1031.2930592786279,0.22246777163904236,68.86374908578253,169.42235348294153
0.4,2,2725.7792908339616,400.0,37.2943472731903,554.156145198407,1428.4070108296712,0.3222836095764272,68.86374908578253,169.42235348294153
0.4,2,2725.7792908339616,650.0,60.60331431893423,920.2611987693941,2357.673663199745,0.5296500920810314,68.86374908578253,169.42235348294153
0.4,2,2725.7792908339616,800.0,74.5886945463806,1112.3163088394201,2725.7792908339616,0.5942909760589319,68.86374908578253,169.42235348294153
0.4,3,2755.6741600000796,300.0,27.921408500864274,460.1105180328,1062.2583666011235,0.21967213114754103,68.86374908578253,169.42235348294153
0.4,3,2755.6741600000796,400.0,37.228544667819044,596.1439190382685,1460.3561136612443,0.31511839708561024,68.86374908578253,169.42235348294153
0.4,3,2755.6741600000796,650.0,60.49638508520594,950.2308598907377,2397.5862367650966,0.5275045537340619,68.86374908578253,169.42235348294153
0.4,3,2755.6741600000796,800.0,74.45708933563809,1153.280715803312,2755.6741600000796,0.5837887067395263,68.86374908578253,169.42235348294153
0.4,4,2784.3925946395675,300.0,27.883917812317165,493.0683573218858,1083.1518579842307,0.21304974765681328,68.86374908578253,169.42235348294153
0.4,4,2784.3925946395675,400.0,37.17855708308956,617.0859066136328,1480.2080440231307,0.311463590483057,68.86374908578253,169.42235348294153
0.4,4,2784.3925946395675,650.0,60.415155260020526,972.1361485375861,2417.340654397058,0.5212689257390051,68.86374908578253,169.42235348294153
0.4,4,2784.3925946395675,800.0,74.35711416617912,1184.1661521654119,2784.3925946395675,0.5769646719538573,68.86374908578253,169.42235348294153
0.4,5,2806.047639788314,300.0,27.91764293395861,511.0085363140004,1103.0186231361326,0.2120886981402003,68.86374908578253,169.42235348294153
