stellar_mass_msun,rotation_percentile_150Myr,initial_omega_sun,track_max_age_myr,track_final_period_days,rotation_match,nearest_or_crossing_age_myr,nearest_or_matched_period_days,rotation_match_age_myr,current_euv_flux_erg_s_cm2,current_x_flux_erg_s_cm2,current_x_luminosity_erg_s,current_mdot_msun_yr,cumulative_euv_fluence_erg_cm2,cumulative_x_fluence_erg_cm2,cumulative_wind_column_kg_m2
0.2,2,3.52,12000.0,141.12292050693833,True,10508.5700573117,131.0,10508.5700573117,42.91220141162573,13.932844717094333,3.50657197707532e+26,1.31914299426883e-15,4.604282598233809e+19,3.5026736833638072e+19,62239.43553326431
0.2,3,3.7,12000.0,140.39548277236648,True,10508.5700573117,131.0,10508.5700573117,42.91220141162573,13.972578236919912,3.51657197707532e+26,1.32828598853766e-15,4.64521598501052e+19,3.551482602353869e+19,62851.424367653046
0.2,4,4.1,12000.0,140.39548277236648,True,10608.5700573117,131.0,10608.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,4.761232575959064e+19,3.678882452448767e+19,64445.36436098286
0.2,5,4.31,12000.0,140.39548277236648,True,10608.5700573117,131.0,10608.5700573117,42.91220141162573,13.93624990251534,3.50742898280649e+26,1.31914299426883e-15,4.803118922574964e+19,3.727960958761757e+19,65020.54924156277
0.2,6,4.49,12000.0,139.67550593763642,True,10608.5700573117,131.0,10608.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,4.8471346364195275e+19,3.783979771271992e+19,65739.20300881735
0.2,7,4.68,12000.0,139.67550593763642,True,10608.5700573117,131.0,10608.5700573117,43.27548475567145,14.0157169421665,3.52742898280649e+26,1.32914299426883e-15,4.897980059418321e+19,3.845597222837459e+19,66411.56885136338
0.2,8,4.86,12000.0,139.67550593763642,True,10708.5700573117,131.0,10708.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,4.939511299558783e+19,3.881010249918697e+19,66911.23250973271
0.2,9,5.1,12000.0,139.67550593763642,True,10708.5700573117,131.0,10708.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.32828598853766e-15,4.9896585576318075e+19,3.9405462365722526e+19,67598.27981068064
0.2,10,5.53,12000.0,138.96287580530154,True,10708.5700573117,131.0,10708.5700573117,43.27548475567145,14.0157169421665,3.52742898280649e+26,1.32914299426883e-15,5.068133546494435e+19,4.03390710263916e+19,68687.02552178939
0.2,11,5.76,12000.0,138.96287580530154,True,10808.5700573117,131.0,10808.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,5.118511012510519e+19,4.085890345871546e+19,69332.85566766874
