model_slice,age_window_width_myr,n_histories_total,worst_case_cumulative_euv_width,worst_case_cumulative_wind_width
TOI-700 combined,0.0,194,1.006771760582168,1.0076836949463972
TOI-700 combined,10.0,194,1.6278484914921296,1.7815300769260027
TOI-700 combined,20.0,194,1.6537622538671377,1.8115276779245375
TOI-700 combined,25.0,194,1.6620852520890166,1.820920804124677
TOI-700 combined,30.0,194,1.6620852520890166,1.820920804124677
TOI-700 combined,40.0,194,1.6776767008387026,1.840082118962325
TOI-700 combined,50.0,194,1.6915545998307207,1.853637785216734
TOI-700 combined,60.0,194,1.6915545998307207,1.853637785216734
TOI-700 combined,70.0,194,1.7158795965885778,1.878688142658126
TOI-700 combined,80.0,194,1.7312456475739881,1.8954833536082094
TOI-700 combined,90.0,194,1.7312456475739881,1.8954833536082094
TOI-700 combined,100.0,194,1.7312456475739881,1.8954833536082094
TOI-700 combined,110.0,194,1.760398794314929,1.929023948299174
TOI-700 combined,120.0,194,1.7831846005345122,1.9570602904232062
TOI-700 combined,130.0,194,1.7952579118810505,1.9721402967943324
TOI-700 combined,140.0,194,1.7952579118810505,1.9721402967943324
TOI-700 combined,150.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,160.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,170.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,180.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,190.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,200.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,210.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,220.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,230.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,240.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,250.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,260.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,270.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,280.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,290.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,300.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,310.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,320.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,330.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,340.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,350.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,360.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,370.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,380.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,390.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,400.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,410.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,420.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,430.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,440.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,450.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,460.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,470.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,480.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,490.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,500.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,510.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,520.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,530.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,540.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,550.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,560.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,570.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,580.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,590.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,600.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,610.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,620.0,194,1.8111662981561396,1.9886501375624537
TOI-700 combined,630.0,194,1.8293243363149823,1.9908273392540115
TOI-700 combined,640.0,194,1.832246450152816,1.9908273392540115
TOI-700 combined,650.0,194,1.832246450152816,1.9908273392540115
TOI-700 combined,660.0,194,1.8702390285341894,2.0368852153059485
TOI-700 combined,670.0,194,1.8702390285341894,2.0368852153059485
TOI-700 combined,680.0,194,1.8847715518551393,2.0532021820331288
TOI-700 combined,690.0,194,1.903547589165072,2.0746411794914383
TOI-700 combined,700.0,194,1.9253688195155616,2.093514216143889
TOI-700 combined,710.0,194,1.9253688195155616,2.093514216143889
TOI-700 combined,720.0,194,1.9525065309909129,2.131047748309687
TOI-700 combined,730.0,194,1.9697679687887717,2.151288762597809
TOI-700 combined,740.0,194,1.9739751634533893,2.151288762597809
TOI-700 combined,750.0,194,1.9918602326675319,2.1763231088088224
TOI-700 combined,760.0,194,2.0176741979081303,2.207536018188511
TOI-700 combined,770.0,194,2.025244513889144,2.2157287950942814
TOI-700 combined,780.0,194,2.0441969643731563,2.238419730620014
TOI-700 combined,790.0,194,2.0566281312116694,2.2531721805114833
TOI-700 combined,800.0,194,2.080724173560872,2.2784474175040303
TOI-700 combined,810.0,194,2.0863885896079597,2.290123481726385
TOI-700 combined,820.0,194,2.111634649959101,2.322181632567843
TOI-700 combined,830.0,194,2.1189789863723165,2.331802447905036
TOI-700 combined,840.0,194,2.134709413015273,2.331802447905036
TOI-700 combined,850.0,194,2.140705226760553,2.3582130690087983
TOI-700 combined,860.0,194,2.165948134598902,2.3892083947853933
TOI-700 combined,870.0,194,2.1769805658007213,2.3892083947853933
TOI-700 combined,880.0,194,2.1841394908601592,2.411692388119979
TOI-700 combined,890.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,900.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,910.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,920.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,930.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,940.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,950.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,960.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,970.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,980.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,990.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1000.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1010.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1020.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1030.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1040.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1050.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1060.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1070.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1080.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1090.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1100.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1110.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1120.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1130.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1140.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1150.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1160.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1170.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1180.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1190.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1200.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1210.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1220.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1230.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1240.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1250.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1260.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1270.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1280.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1290.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1300.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1310.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1320.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1330.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1340.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1350.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1360.0,194,2.1962715253474934,2.411692388119979
TOI-700 combined,1370.0,194,2.2182904764537716,2.411692388119979
TOI-700 combined,1380.0,194,2.2182904764537716,2.411692388119979
TOI-700 combined,1390.0,194,2.2182904764537716,2.411692388119979
TOI-700 combined,1400.0,194,2.2679047904904692,2.411692388119979
TOI-700 combined,1410.0,194,2.2679047904904692,2.411692388119979
TOI-700 combined,1420.0,194,2.285527339669826,2.411692388119979
TOI-700 combined,1430.0,194,2.308295694041619,2.411692388119979
TOI-700 combined,1440.0,194,2.329040682555854,2.411692388119979
TOI-700 combined,1450.0,194,2.329040682555854,2.411692388119979
TOI-700 combined,1460.0,194,2.3676646928755236,2.414328291534451
TOI-700 combined,1470.0,194,2.3885964010022644,2.4372599473286156
TOI-700 combined,1480.0,194,2.3885964010022644,2.4372599473286156
TOI-700 combined,1490.0,194,2.415386105590286,2.4656221134815133
TOI-700 combined,1500.0,194,2.4466888506071047,2.500984160266366
TOI-700 combined,1510.0,194,2.4558688300733245,2.510266004413463
TOI-700 combined,1520.0,194,2.4788511080540774,2.5359732498961667
TOI-700 combined,1530.0,194,2.493925492875651,2.552686745485681
TOI-700 combined,1540.0,194,2.518928960004998,2.5813218240730786
TOI-700 combined,1550.0,194,2.5300138672141106,2.5945499895180637
TOI-700 combined,1560.0,194,2.5606279546851862,2.6308696358573833
TOI-700 combined,1570.0,194,2.569533904930251,2.6417693478298805
TOI-700 combined,1580.0,194,2.569533904930251,2.6417693478298805
TOI-700 combined,1590.0,194,2.595879759071926,2.6716907373334178
TOI-700 combined,1600.0,194,2.626490023716745,2.7068062770894445
TOI-700 0.40 Msun,0.0,97,1.0037201245403558,1.003445457106803
TOI-700 0.40 Msun,10.0,97,1.0145313960530673,1.0148187699473195
TOI-700 0.40 Msun,20.0,97,1.0252135016071537,1.0289397696588725
TOI-700 0.40 Msun,25.0,97,1.026103639938488,1.0289397696588725
TOI-700 0.40 Msun,30.0,97,1.0389929426217899,1.0464093140728856
TOI-700 0.40 Msun,40.0,97,1.0439669923544552,1.0497627629861588
TOI-700 0.40 Msun,50.0,97,1.050577544593933,1.0565497184705916
TOI-700 0.40 Msun,60.0,97,1.0672988940213917,1.078957043300832
TOI-700 0.40 Msun,70.0,97,1.0757481299844467,1.0860844074713532
TOI-700 0.40 Msun,80.0,97,1.0823882351078988,1.0894128569099808
TOI-700 0.40 Msun,90.0,97,1.0968398822503376,1.1114596640400203
TOI-700 0.40 Msun,100.0,97,1.119137325368272,1.139971760341356
TOI-700 0.40 Msun,110.0,97,1.119137325368272,1.139971760341356
TOI-700 0.40 Msun,120.0,97,1.1396088968442157,1.1630417446677976
TOI-700 0.40 Msun,130.0,97,1.1396088968442157,1.1630417446677976
TOI-700 0.40 Msun,140.0,97,1.1521682476245239,1.1718895119266557
TOI-700 0.40 Msun,150.0,97,1.1603889607253326,1.1803587005300424
TOI-700 0.40 Msun,160.0,97,1.1743016289518529,1.2032828260442199
TOI-700 0.40 Msun,170.0,97,1.1889023264998917,1.2089763887439604
TOI-700 0.40 Msun,180.0,97,1.201993699711896,1.2337120317751802
TOI-700 0.40 Msun,190.0,97,1.209296304140687,1.2369106448648248
TOI-700 0.40 Msun,200.0,97,1.2297078964162194,1.2644184428636396
TOI-700 0.40 Msun,210.0,97,1.2380275714670126,1.2735563335583069
TOI-700 0.40 Msun,220.0,97,1.2564503255407875,1.294314819462452
TOI-700 0.40 Msun,230.0,97,1.2666967376621954,1.30523374756753
TOI-700 0.40 Msun,240.0,97,1.276266624672735,1.3148777512734882
TOI-700 0.40 Msun,250.0,97,1.280192884603001,1.3148777512734882
TOI-700 0.40 Msun,260.0,97,1.297822324537674,1.3394359735405177
TOI-700 0.40 Msun,270.0,97,1.3142404651676423,1.3560502522927709
