sigma_dex_diagnostic_only,effective_sample_size,ess_fraction,max_normalized_weight,euv_q05,euv_q50,euv_q95,euv_width_ratio_to_unweighted,wind_q05,wind_q50,wind_q95,wind_width_ratio_to_unweighted
0.02,47.41024145974995,0.4887653758737108,0.030535678086174804,4.900832168678721e+19,5.884089782523013e+19,6.781511446470487e+19,1.0107243414418088,66445.88266771706,79222.56690436984,90408.60911719048,1.0100111617509915
0.05,93.0290872801975,0.9590627554659537,0.013440791418899459,4.8346179143439114e+19,5.859590410615972e+19,6.759470412438151e+19,1.0344641409529751,65534.83986921029,78911.22072459053,90137.03906871405,1.0369644642697216
0.1,96.73206815773634,0.9972378160591375,0.011061418583268964,4.838813934234559e+19,5.851592401517241e+19,6.74999723087194e+19,1.0271179683207436,65603.34916369859,78806.25341379001,90020.31893782601,1.0291571812583629
0.2,96.98307861869169,0.9998255527700175,0.010495118486217812,4.8400886805596455e+19,5.849904392543555e+19,6.747171370924943e+19,1.0249141993832083,65624.16221360282,78783.20335877452,89985.5012009781,1.0268123848231523
0.36,96.99838504561014,0.9999833509856715,0.010366475825971224,4.8403943832798314e+19,5.8494826033965785e+19,6.746491144575249e+19,1.0243843363057392,65629.15348586292,78777.44375488954,89977.12005595148,1.0262487473444348
0.5,96.99956583581822,0.9999955240806002,0.010338911511902247,4.8404606848102285e+19,5.8493902396228714e+19,6.746343437153091e+19,1.0242693225124848,65630.23600481883,78776.18251155577,89975.30013626274,1.0261264117064772
1.0,96.99997285666167,0.9999997201717699,0.01031668299884805,4.840514358688551e+19,5.849315234972166e+19,6.746223812354794e+19,1.0241761874453488,65631.11234945784,78775.1583100544,89973.8262257273,1.0260273501925814
