stellar_mass_msun,rotation_percentile_150Myr,initial_omega_sun,rotation_match_age_myr,matched_period_days,current_euv_flux_erg_s_cm2,current_x_flux_erg_s_cm2,current_mdot_msun_yr,cumulative_euv_fluence_erg_cm2,cumulative_x_fluence_erg_cm2,cumulative_wind_column_kg_m2
0.4,29,6.57,3096.728250804774,54.0,81.64266423760742,36.47462949575207,1.2080369504828643e-14,2.3578700646535295e+19,2.137236004975594e+19,45563.564254177094
0.4,30,6.69,3106.047639788314,54.0,81.71070290502624,36.55615149905887,1.2063714161270116e-14,2.3687724500603896e+19,2.1495805622342435e+19,45760.20297579359
0.4,31,6.81,3114.4196322824246,54.0,81.62077726503843,36.419091580971205,1.2027901838587877e-14,2.383854885653031e+19,2.1670273016423047e+19,46046.13463667
0.4,32,6.94,3115.893639137961,54.0,81.69361696055279,36.50568956732452,1.2104638165172233e-14,2.393601210967737e+19,2.180365284048521e+19,46260.82031083335
0.4,33,7.12,3125.7792908339616,54.0,81.68348472170173,36.45448741038492,1.204532425499623e-14,2.414581167128266e+19,2.2055079655149654e+19,46651.081318233875
0.4,34,7.18,3125.7792908339616,54.0,81.68348472170173,36.45448741038492,1.204532425499623e-14,2.4194771207718478e+19,2.2119229902933414e+19,46745.73863767368
0.4,35,7.3,3135.7045948763152,54.0,81.53890015192617,36.402545028240105,1.208577243074211e-14,2.437542060569552e+19,2.233592812107531e+19,47097.542622387446
0.4,36,7.42,3141.434571925634,54.0,81.51179236738636,36.42892050291913,1.2051392568446196e-14,2.4486034567703564e+19,2.2461234354050638e+19,47294.45442610406
0.4,37,7.55,3145.669551265021,54.0,81.52654723745945,36.349862420890084,1.2025982692409875e-14,2.4577252996358697e+19,2.258594015227261e+19,47484.29500793322
0.4,38,7.55,3145.669551265021,54.0,81.52654723745945,36.349862420890084,1.2025982692409875e-14,2.4577252996358697e+19,2.258594015227261e+19,47484.29500793322
0.4,39,7.79,3155.6741600000796,54.0,81.37974199206825,36.29643958833483,1.2021629199999601e-14,2.477221620865758e+19,2.2813910173330457e+19,47844.24863014789
0.4,40,7.85,3155.6741600000796,54.0,81.43884695058985,36.29643958833483,1.2021629199999601e-14,2.4816484618202636e+19,2.286804549230311e+19,47918.35709172612
0.4,41,8.03,3165.718421081492,54.0,81.36516840198583,36.24227653057434,1.2005689473511047e-14,2.501914286635221e+19,2.3122238526816555e+19,48304.38622559179
0.4,42,8.16,3168.7739398571853,54.0,81.32124577060524,36.22687392664269,1.1987356360856888e-14,2.5113752885845107e+19,2.32250176147447e+19,48475.1818628309
0.4,43,8.28,3175.802334509257,54.0,81.21614248097895,36.187373247608626,1.1945185992944458e-14,2.520817810068073e+19,2.3344395258268553e+19,48654.18327556697
0.4,44,8.4,3177.959157676223,54.0,81.28908950312008,36.17649963207917,1.2010204211618885e-14,2.5324953651062206e+19,2.349614491264004e+19,48891.168219041814
