stellar_mass_msun,rotation_percentile_150Myr,initial_omega_sun,track_max_age_myr,track_final_period_days,rotation_match,nearest_or_crossing_age_myr,nearest_or_matched_period_days
0.15,2,3.46,12000.0,110.27013626655507,False,12000.0,110.27013626655507
0.15,3,3.67,12000.0,110.27013626655507,False,12000.0,110.27013626655507
0.15,4,3.94,12000.0,109.82549862031897,False,12000.0,109.82549862031897
0.15,5,4.25,12000.0,109.82549862031897,False,12000.0,109.82549862031897
0.15,6,4.49,12000.0,109.3844323607996,False,12000.0,109.3844323607996
0.15,7,4.98,12000.0,108.9468946313564,False,12000.0,108.9468946313564
0.15,8,5.47,12000.0,108.51284325832312,False,12000.0,108.51284325832312
0.15,9,5.71,12000.0,108.51284325832312,False,12000.0,108.51284325832312
0.15,10,5.9,12000.0,108.51284325832312,False,12000.0,108.51284325832312
0.15,11,6.08,12000.0,108.08223673745675,False,12000.0,108.08223673745675
0.15,12,6.2,12000.0,108.08223673745675,False,12000.0,108.08223673745675
0.15,13,6.51,12000.0,108.08223673745675,False,12000.0,108.08223673745675
0.15,14,6.57,12000.0,108.08223673745675,False,12000.0,108.08223673745675
0.15,15,6.69,12000.0,108.08223673745675,False,12000.0,108.08223673745675
0.15,16,6.81,12000.0,107.6550342207079,False,12000.0,107.6550342207079
0.15,17,6.81,12000.0,107.6550342207079,False,12000.0,107.6550342207079
0.15,18,7.06,12000.0,107.6550342207079,False,12000.0,107.6550342207079
0.15,19,7.18,12000.0,107.6550342207079,False,12000.0,107.6550342207079
0.15,20,7.3,12000.0,107.23119550330352,False,12000.0,107.23119550330352
0.15,21,7.42,12000.0,107.23119550330352,False,12000.0,107.23119550330352
0.15,22,7.48,12000.0,107.23119550330352,False,12000.0,107.23119550330352
0.15,23,7.55,12000.0,107.23119550330352,False,12000.0,107.23119550330352
0.15,24,7.67,12000.0,107.23119550330352,False,12000.0,107.23119550330352
0.15,25,7.73,12000.0,107.23119550330352,False,12000.0,107.23119550330352
0.15,26,7.79,12000.0,107.23119550330352,False,12000.0,107.23119550330352
0.15,27,7.91,12000.0,107.23119550330352,False,12000.0,107.23119550330352
0.15,28,7.91,12000.0,107.23119550330352,False,12000.0,107.23119550330352
0.15,29,8.03,12000.0,107.23119550330352,False,12000.0,107.23119550330352
0.15,30,8.16,12000.0,106.81068101113374,False,12000.0,106.81068101113374
0.15,31,8.22,12000.0,106.81068101113374,False,12000.0,106.81068101113374
0.15,32,8.28,12000.0,106.81068101113374,False,12000.0,106.81068101113374
0.15,33,8.34,12000.0,106.81068101113374,False,12000.0,106.81068101113374
0.15,34,8.52,12000.0,106.81068101113374,False,12000.0,106.81068101113374
0.15,35,8.52,12000.0,106.81068101113374,False,12000.0,106.81068101113374
0.15,36,8.64,12000.0,106.81068101113374,False,12000.0,106.81068101113374
0.15,37,8.64,12000.0,106.81068101113374,False,12000.0,106.81068101113374
0.15,38,8.77,12000.0,106.81068101113374,False,12000.0,106.81068101113374
0.15,39,8.77,12000.0,106.81068101113374,False,12000.0,106.81068101113374
0.15,40,8.95,12000.0,106.81068101113374,False,12000.0,106.81068101113374
0.15,41,9.01,12000.0,106.39345178843398,False,12000.0,106.39345178843398
0.15,42,9.25,12000.0,106.39345178843398,False,12000.0,106.39345178843398
0.15,43,9.38,12000.0,106.39345178843398,False,12000.0,106.39345178843398
0.15,44,9.5,12000.0,106.39345178843398,False,12000.0,106.39345178843398
0.15,45,9.5,12000.0,106.39345178843398,False,12000.0,106.39345178843398
0.15,46,9.62,12000.0,106.39345178843398,False,12000.0,106.39345178843398
0.15,47,9.62,12000.0,106.39345178843398,False,12000.0,106.39345178843398
0.15,48,9.74,12000.0,106.39345178843398,False,12000.0,106.39345178843398
0.15,49,9.86,12000.0,105.97946948575526,False,12000.0,105.97946948575526
0.15,50,9.99,12000.0,105.97946948575526,False,12000.0,105.97946948575526
0.15,51,10.11,12000.0,105.97946948575526,False,12000.0,105.97946948575526
0.15,52,10.11,12000.0,105.97946948575526,False,12000.0,105.97946948575526
0.15,53,10.35,12000.0,105.97946948575526,False,12000.0,105.97946948575526
0.15,54,10.35,12000.0,105.97946948575526,False,12000.0,105.97946948575526
0.15,55,10.35,12000.0,105.97946948575526,False,12000.0,105.97946948575526
0.15,56,10.6,12000.0,105.97946948575526,False,12000.0,105.97946948575526
0.15,57,10.6,12000.0,105.97946948575526,False,12000.0,105.97946948575526
0.15,58,10.84,12000.0,105.56869634821358,False,12000.0,105.56869634821358
0.15,59,10.84,12000.0,105.56869634821358,False,12000.0,105.56869634821358
0.15,60,10.9,12000.0,105.56869634821358,False,12000.0,105.56869634821358
0.15,61,11.09,12000.0,105.56869634821358,False,12000.0,105.56869634821358
0.15,62,11.09,12000.0,105.56869634821358,False,12000.0,105.56869634821358
0.15,63,11.33,12000.0,105.56869634821358,False,12000.0,105.56869634821358
0.15,64,11.45,12000.0,105.16109520401197,False,12000.0,105.16109520401197
0.15,65,11.57,12000.0,105.16109520401197,False,12000.0,105.16109520401197
0.15,66,11.82,12000.0,105.16109520401197,False,12000.0,105.16109520401197
0.15,67,11.94,12000.0,105.16109520401197,False,12000.0,105.16109520401197
0.15,68,12.06,12000.0,105.16109520401197,False,12000.0,105.16109520401197
0.15,69,12.06,12000.0,105.16109520401197,False,12000.0,105.16109520401197
0.15,70,12.31,12000.0,105.16109520401197,False,12000.0,105.16109520401197
0.15,71,12.43,12000.0,104.75662945322732,False,12000.0,104.75662945322732
0.15,72,12.55,12000.0,104.75662945322732,False,12000.0,104.75662945322732
0.15,73,12.79,12000.0,104.75662945322732,False,12000.0,104.75662945322732
0.15,74,12.79,12000.0,104.75662945322732,False,12000.0,104.75662945322732
0.15,75,12.92,12000.0,104.75662945322732,False,12000.0,104.75662945322732
0.15,76,13.04,12000.0,104.75662945322732,False,12000.0,104.75662945322732
0.15,77,13.28,12000.0,104.3552630568548,False,12000.0,104.3552630568548
0.15,78,13.28,12000.0,104.3552630568548,False,12000.0,104.3552630568548
0.15,79,13.34,12000.0,104.3552630568548,False,12000.0,104.3552630568548
0.15,80,13.77,12000.0,104.3552630568548,False,12000.0,104.3552630568548
0.15,81,13.83,12000.0,104.3552630568548,False,12000.0,104.3552630568548
0.15,82,14.01,12000.0,104.3552630568548,False,12000.0,104.3552630568548
0.15,83,14.26,12000.0,103.95696052610344,False,12000.0,103.95696052610344
0.15,84,14.26,12000.0,103.95696052610344,False,12000.0,103.95696052610344
0.15,85,14.38,12000.0,103.95696052610344,False,12000.0,103.95696052610344
0.15,86,14.38,12000.0,103.95696052610344,False,12000.0,103.95696052610344
0.15,87,14.5,12000.0,103.95696052610344,False,12000.0,103.95696052610344
0.15,88,14.75,12000.0,103.95696052610344,False,12000.0,103.95696052610344
0.15,89,14.99,12000.0,103.95696052610344,False,12000.0,103.95696052610344
0.15,90,15.24,12000.0,103.56168691193575,False,12000.0,103.56168691193575
0.15,91,15.72,12000.0,103.56168691193575,False,12000.0,103.56168691193575
0.15,92,15.97,12000.0,103.56168691193575,False,12000.0,103.56168691193575
0.15,93,16.46,12000.0,103.16940779484507,False,12000.0,103.16940779484507
0.15,94,16.94,12000.0,103.16940779484507,False,12000.0,103.16940779484507
0.15,95,17.68,12000.0,102.78008927486454,False,12000.0,102.78008927486454
0.15,96,18.16,12000.0,102.78008927486454,False,12000.0,102.78008927486454
0.15,97,19.39,12000.0,102.39369796180112,False,12000.0,102.39369796180112
0.15,98,20.61,12000.0,101.62956588745932,False,12000.0,101.62956588745932
0.2,2,3.52,12000.0,141.12292050693833,True,10508.5700573117,131.0
0.2,3,3.7,12000.0,140.39548277236648,True,10508.5700573117,131.0
0.2,4,4.1,12000.0,140.39548277236648,True,10608.5700573117,131.0
0.2,5,4.31,12000.0,140.39548277236648,True,10608.5700573117,131.0
0.2,6,4.49,12000.0,139.67550593763642,True,10608.5700573117,131.0
0.2,7,4.68,12000.0,139.67550593763642,True,10608.5700573117,131.0
0.2,8,4.86,12000.0,139.67550593763642,True,10708.5700573117,131.0
0.2,9,5.1,12000.0,139.67550593763642,True,10708.5700573117,131.0
0.2,10,5.53,12000.0,138.96287580530154,True,10708.5700573117,131.0
0.2,11,5.76,12000.0,138.96287580530154,True,10808.5700573117,131.0
0.2,12,6.08,12000.0,138.96287580530154,True,10808.5700573117,131.0
0.2,13,6.2,12000.0,138.25748049664517,True,10808.5700573117,131.0
0.2,14,6.32,12000.0,138.25748049664517,True,10808.5700573117,131.0
0.2,15,6.45,12000.0,138.25748049664517,True,10854.065245139773,131.0
0.2,16,6.57,12000.0,138.25748049664517,True,10908.5700573117,131.0
0.2,17,6.81,12000.0,138.25748049664517,True,10908.5700573117,131.0
0.2,18,7.12,12000.0,138.25748049664517,True,10908.5700573117,131.0
0.2,19,7.3,12000.0,137.55921039312676,True,10908.5700573117,131.0
0.2,20,7.36,12000.0,137.55921039312676,True,10908.5700573117,131.0
0.2,21,7.42,12000.0,137.55921039312676,True,10908.5700573117,131.0
0.2,22,7.61,12000.0,137.55921039312676,True,11008.5700573117,131.0
0.2,23,7.67,12000.0,137.55921039312676,True,11008.5700573117,131.0
0.2,24,7.79,12000.0,137.55921039312676,True,11008.5700573117,131.0
0.2,25,7.97,12000.0,137.55921039312676,True,11008.5700573117,131.0
0.2,26,8.03,12000.0,137.55921039312676,True,11008.5700573117,131.0
0.2,27,8.16,12000.0,137.55921039312676,True,11008.5700573117,131.0
0.2,28,8.28,12000.0,137.55921039312676,True,11008.5700573117,131.0
0.2,29,8.4,12000.0,137.55921039312676,True,11008.5700573117,131.0
0.2,30,8.4,12000.0,137.55921039312676,True,11008.5700573117,131.0
0.2,31,8.52,12000.0,137.55921039312676,True,11008.5700573117,131.0
